ni;REGIONAL;MUNICIPIO;ESCOLA
33026386;BAIXADAS LITORANEAS;ARARUAMA;CIEP 253 GUIMARÃES ROSA
33026394;BAIXADAS LITORANEAS;ARARUAMA;CIEP 460 THIOPHYLA BRAGANCA
33026408;BAIXADAS LITORANEAS;ARARUAMA;CIEP 148 PROFESSOR CARLOS ELIO VOGAS DA SILVA
33026432;BAIXADAS LITORANEAS;ARARUAMA;CE EDMUNDO SILVA
33026440;BAIXADAS LITORANEAS;ARARUAMA;CE PROFESSORA CLARICE COELHO MOREIRA CALDAS
33026726;BAIXADAS LITORANEAS;ARARUAMA;CE PROFESSOR FONSECA
33026734;BAIXADAS LITORANEAS;ARARUAMA;CE ANTONIO PINTO DE MORAES
33026874;BAIXADAS LITORANEAS;ARARUAMA;CIEP 384 GONCALVES DIAS
33183759;BAIXADAS LITORANEAS;ARARUAMA;CE SARGENTO PM ANTONIO CARLOS OLIVEIRA DE MOURA
33027820;BAIXADAS LITORANEAS;ARMAÇÃO DOS BÚZIOS;CE JOAO DE OLIVEIRA BOTAS
33027102;BAIXADAS LITORANEAS;ARRAIAL DO CABO;CE VINTE DE JULHO
33027137;BAIXADAS LITORANEAS;ARRAIAL DO CABO;CE ALMIRANTE FREDERICO VILLAR
33027285;BAIXADAS LITORANEAS;CABO FRIO;CIEP 458 HERMES BARCELOS
33027307;BAIXADAS LITORANEAS;CABO FRIO;CIEP 193 WILSON MENDES
33027315;BAIXADAS LITORANEAS;CABO FRIO;CE PROFESSOR RENATO AZEVEDO
33027323;BAIXADAS LITORANEAS;CABO FRIO;CE MIGUEL COUTO
33027420;BAIXADAS LITORANEAS;CABO FRIO;EE ASPINO ROCHA
33027439;BAIXADAS LITORANEAS;CABO FRIO;CE PRAIA DO SIQUEIRA
33027447;BAIXADAS LITORANEAS;CABO FRIO;CE PROFESSOR CORDELINO TEIXEIRA PAULO
33027455;BAIXADAS LITORANEAS;CABO FRIO;IE PROFESSORA ISMAR GOMES DE AZEVEDO
33093687;BAIXADAS LITORANEAS;CABO FRIO;CIEP 357 JOSE DE DOME
33093709;BAIXADAS LITORANEAS;CABO FRIO;CIEP 331 LYSIA BERNARDES
33028583;BAIXADAS LITORANEAS;IGUABA GRANDE;CIEP 457 DOUTOR JOSÉ ELIAS MELLO DOS SANTOS
33028605;BAIXADAS LITORANEAS;IGUABA GRANDE;CE DOUTOR FRANCISCO DE PAULA PARANHOS
33053910;BAIXADAS LITORANEAS;MARICÁ;CE ELISIARIO MATTA
33053952;BAIXADAS LITORANEAS;MARICÁ;CE DOMICIO DA GAMA
33053995;BAIXADAS LITORANEAS;MARICÁ;CE PROFESSORA CACILDA SILVA
33054177;BAIXADAS LITORANEAS;MARICÁ;CE DOUTOR JOAO GOMES DE MATTOS SOBRINHO
33054185;BAIXADAS LITORANEAS;MARICÁ;CE CAIO FRANCISCO DE FIGUEIREDO
33054215;BAIXADAS LITORANEAS;MARICÁ;CE EUCLYDES PAULO DA SILVA
33054339;BAIXADAS LITORANEAS;MARICÁ;CE FRANCISCO JOSE DO NASCIMENTO
33096929;BAIXADAS LITORANEAS;MARICÁ;CIEP 391 PROFESSOR ROBSON MENDONCA LOU
